Unnamed: 0;Аналитика;Код;Артикул;Количество;Себестоимость
79.0;Супер-Клей Гель СИЛА 3г BL12 блистер-карта (цена за 1шт, отгрузка кратно 12шт) SSGBL12-3 0771 335425;335425.0;lC0042300;12;334.56
80.0;Элемент питания Kodak MAX Lithium CR2 BL1 5450;5450.0;lБ0014848;30;8691
81.0;Э/п Kodak MAX Lithium CR2450 BL1 784314;784314.0;lБ0050401;10;881.8
82.0;Элемент питания Kodak MAX LR03/286 BL2 554635;554635.0;lБ0005132;60;1997.4
83.0;Элемент питания Kodak MAX LR14/343 BL2 5270;5270.0;lБ0005123;10;979.68
84.0;Элемент питания Kodak MAX LR6/316 BL4 4944;4944.0;lБ0005120;48;1533.54
85.0;Э/п Kodak часовая  SG10 (389) SR1130, SR54 MAX Silver Oxid Button Cell BL10 5086 820427;820427.0;lБ0053485;-22;-1231.56
86.0;Э/п Philips литиевые CR2032 2BL CR2032P2/51 888544;888544.0;lБ0062716;80;5875.58
87.0;Э/п Philips LR03/286/AAA алкалиновые 1,5v 4BL Power  LR03P4B/51 888546;888546.0;lБ0062736;48;1764
88.0;Э/п Philips LR6/316/AA алкалиновые 1,5v 4BL Power LR6P4B/51 888550;888550.0;lБ0062746;48;1764
89.0;ЭРА SIMPLE щит (корпус) метал. ЩРН-24 навесной (330х300х120) IP54 724659;724659.0;lБ0041690;-1;-566.1
90.0;ЭРА SPB-6 управляемый св-к-люстра св/д 70W(5950lm) 2K-4K-6К пульт ДУ Saturn (C) 556х76 6376 681945;681945.0;lБ0036367;1;2225.52
91.0;ЭРА Кабель ВВГ-Пнг(А) 2х1,5 (бухта 10м)  ГОСТ Плоский негорючий ЭРА 58759 852561;852561.0;lБ0058759;20;855.63
92.0;ЭРА лампа ИК инфракрасн. керамич 100W E27 д/обогрева животных (аналог ИКЗК) FITO-100W-НQ 75х105 9868 813501;813501.0;lБ0052715;1;230.23
93.0;ЭРА лампа ИК инфракрасн. керамич 50W E27 для обогрева животных (аналог ИКЗК) FITO-50W-НQ 75х70 7444 814892;814892.0;lБ0052714;1;222.77
94.0;ЭРА сет. удл.-фильтр USF ПВС 3х0.75 5 роз+2USB 1.5м 10А 2.1А/5В (черный, PP) USF-5es-1,5m-USB-B 654647;654647.0;lБ0019036;2;1142.42
95.0;ЭРА фонарь налобный GB-601 (3xR03) 5W(170lm) COB, ударопрочный пластик, 4 реж., бл 615486;615486.0;lБ0027818;2;392.12
96.0;ЭРА фонарь налобный GB-709 Пиранья 5W (310lm), 3 реж, луч 20м, СОВ, 3хААА 0226 805371;805371.0;lБ0052751;1;126.87
97.0;ЭРА фонарь ручной UA-501 5W (400lm), COB+LED,  резина, Li-Ion аккум., IP44 0108 808321;808321.0;lБ0052743;-1;-462.02
;Екатеринбург;;;14228;1034765.55
98.0;"""Станок для бритья женский Disposable Lady 6 лезв. однораз. (2шт, цена за шт)  9986 Kodak 785900";785900.0;lБ0051166;2;128.3
99.0;"""Станок для бритья мужской Disposable Razor 2, 2 лезв.одн (24шт, цена за шт) отрывн.лента 0364 Koda 785902";785902.0;lБ0051159;24;277.24
100.0;GREEN APPLE GWCG12-065 Распределитель четырехканальный, пластик (12/48/288) 461309;461309.0;lБ0003124;3;2101.69
101.0;GREEN APPLE Фонтан настольный Гном Дачник 25cм 1853 GANF-01 780699;780699.0;lБ0043457;2;4200.39
